SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
10069,1315,1441,597,207,1617,335,2195,273,288
10070,764,872,187,145,1012,292,1302,172,162
10071,891,934,242,195,1058,330,1624,108,93
10072,1005,1011,336,185,1181,314,1570,214,232
10073,707,768,175,129,776,395,1255,91,129
10074,806,879,218,145,1021,301,1299,170,216
10075,765,798,201,152,905,305,1230,145,188
10076,1085,1152,476,93,1544,124,1933,121,183
10077,909,913,356,206,1060,200,1522,176,124
10078,1210,1236,547,228,1426,245,1936,261,249
10079,852,933,252,197,996,340,1517,124,144
10080,1111,1122,516,227,1261,229,1375,354,504
10081,1051,1048,299,205,1238,357,1434,107,558
10082,992,946,361,228,1123,226,1071,64,803
10083,1257,986,430,295,1295,223,1126,41,1076
10084,833,828,246,173,981,261,1066,57,538
10085,1074,1028,366,243,1174,319,1303,69,730
10086,973,984,288,227,1109,333,1411,51,495
10087,921,948,276,205,1033,355,1342,53,474
10088,836,858,186,180,973,355,1466,28,200
10089,2565,1634,557,458,2827,357,1611,322,2266
10090,702,763,190,155,861,259,1091,58,316
10091,970,1015,243,191,1079,472,1595,86,304
10092,679,779,101,115,816,426,1283,32,143
10093,518,549,84,80,565,338,965,26,76
10094,1508,1523,630,174,1991,236,2223,343,465
10095,647,642,186,107,815,181,1047,81,161
10096,761,878,269,154,980,236,1309,159,171
10097,760,847,279,130,889,309,1383,115,109
10098,871,966,185,224,1126,302,1680,68,89
10099,537,609,149,143,655,199,1038,13,95
10100,796,904,250,126,946,378,1332,113,255
10101,846,815,274,155,994,238,1205,134,322
10102,1254,1380,320,243,1442,629,2176,82,376
10103,1028,1149,206,179,1136,656,1935,58,184
10104,757,844,144,136,1031,290,1494,24,83
10105,1032,1205,253,267,1249,468,1977,54,206
10106,477,555,102,86,548,296,909,20,103
10107,758,818,209,145,941,281,1402,68,106
10108,611,712,130,84,637,472,1188,33,102
10109,765,879,217,133,833,461,1364,43,237
10110,742,931,196,168,904,405,1396,39,238
10111,614,689,154,121,690,338,1094,38,171
10112,746,803,162,128,757,502,1411,30,108
10113,569,619,140,124,714,210,967,54,167
10114,692,742,185,134,826,289,1141,47,246
10115,658,748,144,112,789,361,1140,66,200
10116,854,1014,236,140,991,501,1513,85,270
10117,598,676,132,104,633,405,1110,38,126
10118,465,531,127,94,460,315,939,10,47
10119,539,641,136,78,634,332,986,23,171
10120,663,806,158,152,804,355,1173,69,227
10121,748,839,216,122,922,327,1307,64,216
10122,708,782,137,141,817,395,1358,29,103
10123,655,697,154,132,696,370,1186,48,118
